artistName,segment
Christina Aguilera,Previously Active Listeners
Tiësto,Previously Active Listeners
Lil Wayne,Previously Active Listeners
Mustard,Previously Active Listeners
Flo Rida,Previously Active Listeners
Wallows,Previously Active Listeners
Mariah Carey,Previously Active Listeners
Major Lazer,Previously Active Listeners
Surfaces,Previously Active Listeners
Migos,Light listeners
Dyl,Previously Active Listeners
Desiigner,Previously Active Listeners
Gnarls Barkley,Previously Active Listeners
DRAM,Previously Active Listeners
Foster The People,Moderate listeners
DJ Snake,Previously Active Listeners
John Mayer,Previously Active Listeners
Fetty Wap,Previously Active Listeners
Robin Schulz,Previously Active Listeners
A-Trak,Previously Active Listeners
Chance the Rapper,Previously Active Listeners
24kGoldn,Previously Active Listeners
Pop Smoke,Previously Active Listeners
Sting,Previously Active Listeners
Ice Cube,Previously Active Listeners
Bastille,Previously Active Listeners
The Foundations,Light listeners
Playboi Carti,Light listeners
Amanda Reifer,Moderate listeners
Red Hot Chili Peppers,Super Listeners
M.I.A.,Previously Active Listeners
David Guetta,Previously Active Listeners
DJ Drama,Previously Active Listeners
Mr. Probz,Previously Active Listeners
Todd Rundgren,Previously Active Listeners
Grupo Frontera,Previously Active Listeners
Janet Jackson,Previously Active Listeners
FITZ,Previously Active Listeners
Rich The Kid,Previously Active Listeners
Rick Ross,Previously Active Listeners
Gucci Mane,Previously Active Listeners
Anderson .Paak,Previously Active Listeners
OneRepublic,Moderate listeners
Kelis,Previously Active Listeners
BabyTron,Previously Active Listeners
COIN,Previously Active Listeners
Ayo & Teo,Previously Active Listeners
Mustard,Previously Active Listeners
Caesars,Light listeners
Ty Dolla $ign,Light listeners
Oliver Tree,Previously Active Listeners
Lenny Kravitz,Previously Active Listeners
Milky Chance,Moderate listeners
Lilly Wood and The Prick,Previously Active Listeners
TheNightAftr,Previously Active Listeners
The Game,Light listeners
MGMT,Light listeners
Empire Of The Sun,Moderate listeners
Lil Skies,Previously Active Listeners
"Tyler, The Creator",Light listeners
¥$,Light listeners
Lukas Graham,Previously Active Listeners
Wiz Khalifa,Previously Active Listeners
Key Glock,Previously Active Listeners
The Beatles,Light listeners
Kungs,Previously Active Listeners
Tears For Fears,Previously Active Listeners
Nico & Vinz,Previously Active Listeners
Marshmello,Previously Active Listeners
X Ambassadors,Light listeners
Still Woozy,Moderate listeners
James Blake,Previously Active Listeners
Future,Moderate listeners
KIDS SEE GHOSTS,Light listeners
John Martin,Previously Active Listeners
The Neighbourhood,Previously Active Listeners
Sister Hazel,Previously Active Listeners
Queen,Light listeners
USHER,Previously Active Listeners
2 Chainz,Previously Active Listeners
$NOT,Previously Active Listeners
Daryl Hall & John Oates,Previously Active Listeners
Pharrell Williams,Previously Active Listeners
Mike Posner,Previously Active Listeners
Yung Gravy,Previously Active Listeners
Lil Mosey,Previously Active Listeners
iann dior,Previously Active Listeners
Afroman,Previously Active Listeners
Aminé,Previously Active Listeners
A$AP Ferg,Moderate listeners
Carly Rae Jepsen,Previously Active Listeners
Khalid,Previously Active Listeners
Sam Dew,Previously Active Listeners
Black Eyed Peas,Previously Active Listeners
Avicii,Previously Active Listeners
Baby Keem,Light listeners
Swae Lee,Previously Active Listeners
Arctic Monkeys,Moderate listeners
Don Toliver,Previously Active Listeners
Luke Combs,Previously Active Listeners
Silk Sonic,Previously Active Listeners
Seal,Light listeners
Cochise,Previously Active Listeners
Green Day,Light listeners
Nardo Wick,Previously Active Listeners
Kiana Ledé,Previously Active Listeners
Drake,Moderate listeners
Neon Trees,Previously Active Listeners
R3HAB,Moderate listeners
Dominic Fike,Previously Active Listeners
Snoop Dogg,Previously Active Listeners
Joel Corry,Previously Active Listeners
Switch Disco,Previously Active Listeners
Dash Berlin,Previously Active Listeners
Owl City,Previously Active Listeners
Bruno Mars,Moderate listeners
BANNERS,Light listeners
Tory Lanez,Previously Active Listeners
Otto Knows,Light listeners
Kita Alexander,Previously Active Listeners
DTG,Previously Active Listeners
Sexyy Red,Previously Active Listeners
Kelsea Ballerini,Light listeners
Jonas Brothers,Previously Active Listeners
Joy Oladokun,Moderate listeners
Zac Efron,Previously Active Listeners
Justin Jesso,Previously Active Listeners
Gabry Ponte,Previously Active Listeners
Kygo,Moderate listeners
Ashley Kutcher,Light listeners
ROSÉ,Moderate listeners
Three 6 Mafia,Previously Active Listeners
MKTO,Previously Active Listeners
5 Seconds of Summer,Previously Active Listeners
FISHER,Light listeners
Ava Max,Moderate listeners
Gavin DeGraw,Previously Active Listeners
Poo Bear,Previously Active Listeners
Jessie Murph,Previously Active Listeners
Sam Hunt,Previously Active Listeners
Cedric Gervais,Moderate listeners
Justin Timberlake,Previously Active Listeners
Luke Bryan,Previously Active Listeners
Beyoncé,Previously Active Listeners
Michael Schulte,Previously Active Listeners
Camila Cabello,Moderate listeners
AFROJACK,Previously Active Listeners
Alan Walker,Light listeners
MAGIC!,Previously Active Listeners
Jack & Jack,Previously Active Listeners
Naughty Boy,Previously Active Listeners
Axwell /\ Ingrosso,Previously Active Listeners
Ella Mai,Previously Active Listeners
AJR,Previously Active Listeners
Anitta,Light listeners
Jack Ü,Previously Active Listeners
Eli Young Band,Moderate listeners
Adele,Light listeners
Brendon Urie,Previously Active Listeners
Astrid S,Moderate listeners
Europa,Previously Active Listeners
OMI,Previously Active Listeners
Natasha Bedingfield,Light listeners
Jelly Roll,Previously Active Listeners
benny blanco,Previously Active Listeners
XXXTENTACION,Light listeners
Shouse,Previously Active Listeners
Sean Kingston,Previously Active Listeners
Silentó,Previously Active Listeners
