endTime,artistName,trackName,msPlayed
2024-02-02 04:35,DLJ,Flowers,157391
2024-02-02 04:38,Bcalm,Soothe,128000
2024-02-02 04:40,Kanisan,LILY,124123
2024-02-02 04:42,xander.,Wish You Were Honest,154736
2024-02-02 04:45,DaniSogen,The Old Legend,148474
2024-02-02 04:48,amies,Break Away,180923
2024-02-02 04:51,softy,Snow in October,174642
2024-02-02 04:53,Rook1e,The Places We Used to Walk,135807
2024-02-02 05:34,gCoope,Passing Time,146665
2024-02-02 05:37,cxlt.,Another Daydream,152000
2024-02-02 05:40,Loafy Building,Maru,174626
2024-02-02 05:42,TABAL,Orange Leaves,160000
2024-02-02 05:45,WYS,Trying To Sleep,174074
2024-02-02 05:48,Blue Fox,Golden Deer,162406
2024-02-02 05:51,azayaka,Train to the Ocean,164166
2024-02-02 05:53,Hevi,Homecoming,143685
2024-02-02 05:55,cxlt.,Rays Of Light,123333
2024-02-02 05:57,Bcalm,Comfort,138000
2024-02-02 05:59,HM Surf,Prinsessealleen,127109
2024-02-02 06:03,No Spirit,Choosing You,190000
2024-02-02 06:05,Team Astro,Intersafe,170555
2024-02-02 06:09,amies,Fireflies,182400
2024-02-02 06:11,Towerz,Buds of May,163328
2024-02-02 06:13,Hoogway,Everything (You Are),120070
2024-02-02 06:16,Solar Body,Disembodied Souls,176250
2024-02-02 06:19,steezy prime,youth,143414
2024-02-02 07:52,SPEECHLESS,Pure Bliss,134863
2024-02-02 08:06,Kevin LaSean,Lonely Nights,168120
2024-02-02 14:43,Kevin LaSean,Lonely Nights,3308
2024-02-02 14:45,KioKo,The Chosen One,120004
2024-02-02 14:47,Dosi,Crackling,135211
2024-02-02 14:49,idylla,beauty in everything,153663
2024-02-02 14:52,Blurred Figures,somebody lovely,156521
2024-02-02 14:55,Blurred Figures,flower dance,169411
2024-02-02 14:58,amies,Wandering,198260
2024-02-02 15:01,Allem Iversom,Sky Above,174545
2024-02-02 15:04,Dimension 32,Floating Island,177423
2024-02-02 15:07,xander.,Evenings With You,185142
2024-02-02 15:09,Dimension 32,Obscura Luna,116417
2024-02-02 15:11,S N U G,Circadian,137600
2024-02-02 15:14,WYS,Trying To Sleep,174074
2024-02-02 15:16,Living Room,Whispering,125806
2024-02-02 15:18,steezy prime,better days,120368
2024-02-02 15:21,eleven,Odyssey,176000
2024-02-02 15:24,Kanisan,LILY,124123
2024-02-02 15:26,Nadav Cohen,twilight,151000
2024-02-02 15:29,Elior,Discover,159529
2024-02-02 15:31,Lilac,Waterfront,152000
2024-02-02 15:34,Late Night Tones,Desire,155400
2024-02-02 15:37,softy,Snow in October,174642
2024-02-02 17:12,Pierson Booth,Your Innocent Eyes,127897
2024-02-03 03:55,Michael Giacchino,"Theme (from ""Spider Man"") [Original Television Series]",39960
2024-02-03 04:00,Akinola Pedro,Traffic.jam {BARGAIN},187606
2024-02-03 04:03,Jack Harlow,State Fair,194526
2024-02-03 04:08,Morat,Cuando Nadie Ve,219586
2024-02-03 04:12,DJ Khaled,POPSTAR (feat. Drake),200221
2024-02-03 04:18,Emotional Oranges,All That (feat. Channel Tres),185883
2024-02-03 04:20,Jack Harlow,Lovin On Me,138411
2024-02-03 04:23,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369
