"name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack","items__addedDate","description","numberOfFollowers"
"SWAY WITH ME","2024-08-04","Sway (Quien Sera)","Dean Martin","Hey, Brother Pour The Wine","spotify:track:4nbILrYODP667b3d66ZMzI","null","null","null","2024-08-04","null","0"
"","","Sway","Michael Bublé","Michael Bublé","spotify:track:2ajUl8lBLAXOXNpG4NEPMz","null","null","null","2024-08-04","",""
"","","Sway - Sped Up Version","Michael Bublé","Sway","spotify:track:2BLXNZq2tVNFzVI7yRk6Hc","null","null","null","2024-08-04","",""
"","","Sway With Me (with GALXARA)","Saweetie","Sway With Me (with GALXARA)","spotify:track:5gqLY5H1ZyT3BScVr0nDMs","null","null","null","2024-08-04","",""
"","","¿Quién Será?","La Sonora Matancera","¿Quién Será?","spotify:track:1sn6fQOhQtD4ssL621D2ZO","null","null","null","2024-08-04","",""
"","","Quién Será","Julio Iglesias","México & Amigos","spotify:track:4XFdn9ehQg1cwQJvuCH5cB","null","null","null","2024-08-04","",""
"In the jungle there is peace","2023-10-08","Gooey","Glass Animals","ZABA","spotify:track:1gk3FhAV07q9Jg77UxnVjX","null","null","null","2023-10-08","null","0"
"","","Electric Feel","Coast Modern","Electric Feel","spotify:track:5BevUDbSHGxIbmXGDd6Ejs","null","null","null","2023-10-08","",""
"V’s country/folk","2023-06-11","Two Black Cadillacs","Carrie Underwood","Blown Away","spotify:track:5mFYtqhN4T2D9IPSaZnVDw","null","null","null","2023-06-11","null","1"
"","","Somethin' Bad (with Carrie Underwood)","Miranda Lambert","Platinum","spotify:track:6s9m5J92By7jii22Q2XtY2","null","null","null","2023-06-11","",""
"","","Hell on Heels","Pistol Annies","Hell On Heels","spotify:track:0sgnJ5LFjEy2IuQ99NEZ1C","null","null","null","2023-06-11","",""
"","","I Feel a Song (In My Heart)","Gladys Knight & The Pips","The Essential Gladys Knight & The Pips","spotify:track:7tdrsfzshZ37B8W7jwxMlb","null","null","null","2023-06-11","",""
"","","Werewolf's Eyes","Birch Book","Werewolf's Eyes","spotify:track:0ud6SAfGyYqltphiCKaYaX","null","null","null","2023-06-11","",""
"","","The Wind that Cracks the Leaves","In Gowan Ring","Hazel Steps through a Weathered Home","spotify:track:36YqkrGKhZNbffrST2DlpV","null","null","null","2023-06-11","",""
"","","Poison","Stick and Poke","Lost Kids","spotify:track:2eOGES4AcE9xc4LNEIl0HR","null","null","null","2023-06-11","",""
"","","Black Fox","Heather Dale","The Road to Santiago","spotify:track:6RESm7ENOUghLSFpfrFBsT","null","null","null","2023-06-11","",""
"","","The Morrigan","Heather Dale","Fairytale","spotify:track:7nimEd5Zdn5bI5TMzfzKcU","null","null","null","2023-06-11","",""
"","","Witch's Rune","S. J. Tucker","Blessings","spotify:track:05SBYEaOoRBtrAAveD4Lph","null","null","null","2023-06-11","",""
"","","Mjölner","Thyrfing","Urkraft","spotify:track:7mDMMw3CU4XyZGjfwRizVu","null","null","null","2023-06-11","",""
"","","Barbara Anne","King Dude","Burning Daylight","spotify:track:2XexCZoOc4d8B6IPmjBHSx","null","null","null","2023-06-11","",""
"","","Dig Gravedigger Dig","Corb Lund","Cabin Fever","spotify:track:2wD8fhmbaM2e1823FJEitJ","null","null","null","2023-06-11","",""
"","","Death Don't Have No Mercy","Delaney Davidson","Sad But True","spotify:track:0BCtG2fGjxoztlnetLoqBc","null","null","null","2023-06-11","",""
"","","Sleeping on the Blacktop","Colter Wall","Imaginary Appalachia","spotify:track:3Ozx6IrGdoQyAworJzvBDE","null","null","null","2023-06-11","",""
