"name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack","items__addedDate","description","numberOfFollowers"
"My Playlist #34","2024-08-19","Stars Align (with Drake)","Majid Jordan","Wildest Dreams","spotify:track:5hTl2uxJGd1sbLtovguuuk","null","null","null","2024-08-06","null","0"
"","","Can't Stop Won't Stop (feat. Kodak Black)","King Combs","Can't Stop Won't Stop (feat. Kodak Black)","spotify:track:4L1zI1GJxi0Qq38aSYmsS0","null","null","null","2024-08-06","",""
"","","No Diggity","Blackstreet","Friday Office Music","spotify:track:5IokHFAiUDIwIVkEEfu9et","null","null","null","2024-08-06","",""
"","","94 Camry Music","femdot.","94 Camry Music","spotify:track:29BXvdSR0ucyQ4m6WwdHRh","null","null","null","2024-08-06","",""
"","","530","¥$","VULTURES 2","spotify:track:4hm8BZ7nLceFNZUexWTxx4","null","null","null","2024-08-06","",""
"","","SKY CITY","¥$","VULTURES 2","spotify:track:3PejDs8Z2jB24Y5HpnvFDM","null","null","null","2024-08-06","",""
"","","RIVER","¥$","VULTURES 2","spotify:track:27N2bd3ait2QOnprc4seCK","null","null","null","2024-08-06","",""
"","","Wish","Diplo","Wish","spotify:track:3oByO94xgLnworeBgkCsGo","null","null","null","2024-08-06","",""
"","","NASA","Ariana Grande","thank u, next","spotify:track:4uTvPEr01pjTbZgl7jcKBD","null","null","null","2024-08-06","",""
"","","Saturday Mornings (feat. Lil Wayne)","Cordae","Saturday Mornings (feat. Lil Wayne)","spotify:track:2dk1fsLg7YEsKJdVm4P5cu","null","null","null","2024-08-06","",""
"","","Anything","Bazzi","Anything","spotify:track:4jVVO2Fqredo9XdIOMBwGj","null","null","null","2024-08-06","",""
"","","BURN","¥$","VULTURES 1","spotify:track:04CyMEHliadfQWMUJb1w99","null","null","null","2024-08-06","",""
"","","PROMOTION","¥$","VULTURES 2","spotify:track:5v1yAVGillOAN3yqJ6pmPL","null","null","null","2024-08-06","",""
"","","What Would Pluto Do","Drake","For All The Dogs","spotify:track:1DAibqbopEYULPEtE8WHTE","null","null","null","2024-08-06","",""
"","","WY@","Brent Faiyaz","Larger Than Life","spotify:track:3ria9Axw5mheRAOoP9bnof","null","null","null","2024-08-06","",""
"","","All to Myself","Future","WE STILL DON'T TRUST YOU","spotify:track:0lOQaZwX9AkAiSvObh4G70","null","null","null","2024-08-06","",""
"","","Upset (feat. Tommy Richman & FELIX!)","Brent Faiyaz","Larger Than Life","spotify:track:5iwUwADk4uQUvgMF6PlTRl","null","null","null","2024-08-06","",""
"","","Tried Our Best","Drake","For All The Dogs","spotify:track:3IHt4j5uAEl7iBu8Utn985","null","null","null","2024-08-06","",""
