"name","lastModifiedDate","items__track","items__episode__episodeName","items__episode__showName","items__episode__episodeUri","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack__uri","items__localTrack","items__addedDate","description","numberOfFollowers"
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Cut+Throat+%28Instrumental%29:72","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Klink:202","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Culture+Shock:260","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:5D:43","","2023-09-21","",""
"Weird shit","2023-08-06","","","","","Nervous Cop","Nervous Cop","Nervous Cop","spotify:track:0RaAQh1AdWbTQak3Al3Kke","null","null","","null","2023-08-06","null","0"
"Charcuterie ","2023-07-13","","","","","Milk Crates","Pigeon Pit","Feather River Canyon Blues","spotify:track:2aQFOiBluW27W0QgX8OyT0","null","null","","null","2023-07-13","null","0"
"","","","","","","Nothing From Nothing","Billy Preston","The Kids & Me","spotify:track:72PoJMDfdaw9gGECgA9kTZ","null","null","","null","2023-07-13","",""
"","","","","","","Don't Lick The Swingset","Carly Cosgrove","Don't Lick The Swingset","spotify:track:2ux59Zvg7EDCJGfxD1pJF9","null","null","","null","2023-07-13","",""
"","","","","","","City Looks Pretty","Courtney Barnett","Tell Me How You Really Feel","spotify:track:19nUjmaqEhWvOtKk72NXGC","null","null","","null","2023-07-13","",""
"","","","","","","Cramps","Slow Pulp","Cramps","spotify:track:4mfPMfuy0fq025OaoPBKSL","null","null","","null","2023-07-13","",""
"","","","","","","Garbage Pale Kids","JPEGMAFIA","SCARING THE HOES","spotify:track:73pz1RTwUBpKO286c9zhzT","null","null","","null","2023-07-13","",""
"","","","","","","Ring A Bell","Death Grips","Bottomless Pit","spotify:track:3Vtgng4bH7j2HSO8HObci9","null","null","","null","2023-07-13","",""
"","","","","","","Angelina","Pinegrove","Everything So Far","spotify:track:7Dt26KoNRmZpzlVwMe6LSP","null","null","","null","2023-07-13","",""
"","","","","","","Blonde Hair, Black Lungs","Sorority Noise","Forgettable","spotify:track:0F0bUjqrveFfAkLpZbVVkS","null","null","","null","2023-07-13","",""
"","","","","","","Art School Wannabe","Sorority Noise","Joy, Departed","spotify:track:3xlkH2csAScP9oudUA9HY5","null","null","","null","2023-07-13","",""
"","","","","","","Crash Test Rating","Remo Drive","Greatest Hits","spotify:track:1RIgnPLmupN5JRcncTDUTO","null","null","","null","2023-07-13","",""
"","","","","","","Constant Headache","Joyce Manor","S/T","spotify:track:6baeAT0jVAxvnLn8rIN50X","null","null","","null","2023-07-13","",""
"","","","","","","Wave Of Mutilation","Pixies","Doolittle","spotify:track:51Z2IzJvLCnZaIpBV0IYRr","null","null","","null","2023-07-13","",""
"","","","","","","Debaser","Pixies","Doolittle","spotify:track:5cy5IStIn7OSHDEIgXeDyq","null","null","","null","2023-07-13","",""
"","","","","","","Up Song - Live at Bush Hall","Black Country, New Road","Live at Bush Hall","spotify:track:3b6suhvxtWPIF0tZe5xDCL","null","null","","null","2023-07-13","",""
"","","","","","","Drunk Drivers/Killer Whales","Car Seat Headrest","Teens Of Denial","spotify:track:75hwtYcghca6YKW4i6C6fP","null","null","","null","2023-07-13","",""
"","","","","","","Edward 40hands","Mom Jeans.","Best Buds","spotify:track:6MExehlWTF49eRhXAXRpB1","null","null","","null","2023-07-13","",""
"","","","","","","Our Song","Radiator Hospital","Something Wild","spotify:track:2uqmxFpHVFICO3PItf9WD9","null","null","","null","2023-07-13","",""
"","","","","","","Harness Your Hopes - B-side","Pavement","Brighten the Corners: Nicene Creedence Ed.","spotify:track:4vsoWZcvtvSsE0OiVvDDvX","null","null","","null","2023-07-13","",""
"","","","","","","Grounds","IDLES","Ultra Mono","spotify:track:620IDPWRadDTa6F37LhOb1","null","null","","null","2023-07-13","",""
"","","","","","","Troglodyte","Viagra Boys","Cave World","spotify:track:2FHMM1A7ozaPLn0wIY4SET","null","null","","null","2023-07-13","",""
"","","","","","","Jackie Down The Line","Fontaines D.C.","Skinty Fia","spotify:track:4DNbKvO9fI8bjnxis4yddk","null","null","","null","2023-07-13","",""
"","","","","","","Only Shallow","my bloody valentine","Loveless","spotify:track:52UcjsM15hjCQAUbTW2hy1","null","null","","null","2023-07-13","",""
"","","","","","","Good Will Hunting","Black Country, New Road","Ants From Up There","spotify:track:0Ppd0oDauQpaQgNvpHzq24","null","null","","null","2023-07-13","",""
"","","","","","","When the Sun Hits","Slowdive","Souvlaki","spotify:track:0oxYB9GoOIDrdzniNdKC44","null","null","","null","2023-07-13","",""
"","","","","","","Hollywood Baby","100 gecs","10,000 gecs","spotify:track:0oigSejhoNen2EdNAIFcm5","null","null","","null","2023-07-13","",""
"","","","","","","Heat Wave","Snail Mail","Lush","spotify:track:7B0uWqVjMySfDKhtZghBkO","null","null","","null","2023-07-13","",""
"","","","","","","Afraid of the Dark","The Frights","You Are Going to Hate This","spotify:track:7qu8bbYd447AiHOydbqe2c","null","null","","null","2023-07-13","",""
"","","","","","","The Guns of Brixton - Remastered","The Clash","London Calling (Remastered)","spotify:track:0jnFDxgNhS156vu6roUVco","null","null","","null","2023-07-13","",""
"","","","","","","Gimmie Something","FIDLAR","FIDLAR","spotify:track:2v1aJdgNImq9Zrz1IF5wat","null","null","","null","2023-07-13","",""
"","","","","","","The Clap","The Chats","High Risk Behaviour","spotify:track:6XBVxi3Nqbrq3jpxIegjVW","null","null","","null","2023-07-13","",""
"","","","","","","Pub Feed","The Chats","High Risk Behaviour","spotify:track:6Rz6yXr3RWpYdGst26tSYF","null","null","","null","2023-07-13","",""
"New soul","2023-06-19","","","","","Fighting for Peace","Cory Henry","Fighting for Peace","spotify:track:2iYDEwzq00a571f0hbQ53g","null","null","","null","2023-06-19","null","0"
"","","","","","","Lord Will Make a Way","Vulfmon","Vulfnik","spotify:track:0eHUXbdvmFFeQHZkecp9RH","null","null","","null","2023-06-19","",""
"","","","","","","All That’s Left of Me Is You","Vulfpeck","Schvitz","spotify:track:54Aa3U7MwohGZz56LMi0Ng","null","null","","null","2023-06-19","",""
"","","","","","","Serve Somebody","Vulfpeck","Schvitz","spotify:track:5YwhVIzPr7MmxEgRMxA6sT","null","null","","null","2023-06-19","",""
"","","","","","","River","Leon Bridges","Coming Home","spotify:track:3hhbDnFUb2bicI2df6VurK","null","null","","null","2023-06-19","",""
"","","","","","","Forgot Your Name (feat. Cory Henry)","BJ The Chicago Kid","Forgot Your Name (feat. Cory Henry)","spotify:track:5YjXdf3xOgpix4ULgoVJnT","null","null","","null","2023-06-19","",""
"Summer","2023-06-02","","","","","Il est tout pour moi","Françoise Hardy","Françoise Hardy (Tous les garçons et les filles)","spotify:track:3GGnrPooitgHfLzzaiJW9F","null","null","","null","2023-06-02","null","0"
"","","","","","","I Get Around (Mono)","The Beach Boys","All Summer Long","spotify:track:3v9xlH6BpmRbqL7hgNJhfT","null","null","","null","2023-06-02","",""
"","","","","","","Surfin' Bird","The Trashmen","Surfin' Bird","spotify:track:091roQPTeXtncbG9qXvvXK","null","null","","null","2023-06-02","",""
"","","","","","","Ain't Wastin' Time No More","Allman Brothers Band","Eat A Peach","spotify:track:4euYSSvpQZSAQ4gThyL2QD","null","null","","null","2023-06-02","",""
"","","","","","","City Looks Pretty","Courtney Barnett","Tell Me How You Really Feel","spotify:track:19nUjmaqEhWvOtKk72NXGC","null","null","","null","2023-06-02","",""
"","","","","","","Empties","Pigeon Pit","Feather River Canyon Blues","spotify:track:5i4yRh6U3oCKCOk62XAzzE","null","null","","null","2023-06-02","",""
"","","","","","","What You Do To Me","Teenage Fanclub","Bandwagonesque","spotify:track:6DOJgDuUVDaJ98GQxwyLTh","null","null","","null","2023-06-02","",""
"","","","","","","Thank You, New Jersey","Origami Angel","Thank You, New Jersey","spotify:track:3dl2M4CJENgzI6IG2dNxLL","null","null","","null","2023-06-02","",""
"","","","","","","Heat Wave","Snail Mail","Lush","spotify:track:7B0uWqVjMySfDKhtZghBkO","null","null","","null","2023-06-02","",""
"","","","","","","Going Up The Country","Canned Heat","On The Road Again","spotify:track:3iltRlox3jEeSKuqdW88EK","null","null","","null","2023-06-02","",""
"","","","","","","Don't Let The Good Life Pass You By","Cass Elliot","Mama's Big Ones","spotify:track:4Z2PtqWOBXJOgQ7UCLO3py","null","null","","null","2023-06-02","",""
"","","","","","","Bennie And The Jets - Remastered 2014","Elton John","Goodbye Yellow Brick Road","spotify:track:5Wj1rJnCLpMHdLaxsFtJLs","null","null","","null","2023-06-02","",""
"","","","","","","Cut Your Hair","Pavement","Crooked Rain, Crooked Rain","spotify:track:4tBl1xhBg5PETpBvFnQmGl","null","null","","null","2023-06-02","",""
"","","","","","","Harness Your Hopes - B-side","Pavement","Brighten the Corners: Nicene Creedence Ed.","spotify:track:4vsoWZcvtvSsE0OiVvDDvX","null","null","","null","2023-06-02","",""
"","","","","","","Old to Begin","Pavement","Brighten the Corners: Nicene Creedence Ed.","spotify:track:6GxFExongkRI0fGY4AIoAn","null","null","","null","2023-06-02","",""
"","","","","","","Hollywood Baby","100 gecs","10,000 gecs","spotify:track:0oigSejhoNen2EdNAIFcm5","null","null","","null","2023-06-02","",""
"","","","","","","Beach Life-In-Death","Car Seat Headrest","Twin Fantasy","spotify:track:27aQH9DIJ3ozx3dC91Hhjg","null","null","","null","2023-06-02","",""
"","","","","","","What I Got","Sublime","Sublime","spotify:track:3B4q6KbHbGV51HO3GznBFF","null","null","","null","2023-06-02","",""
"","","","","","","What Happened","Sublime","40oz. To Freedom","spotify:track:4y15tYrvSv1c0HxFEJR3wl","null","null","","null","2023-06-02","",""
"","","","","","","Let Her Dance","The Bobby Fuller Four","I Fought The Law: The Best Of Bobby Fuller Four","spotify:track:0zsDiSjcecfCbKXMYaKhnv","null","null","","null","2023-06-02","",""
"","","","","","","Landlocked State","Teenage Cool Kids","Denton After Sunset","spotify:track:0UEukOdvxTzs4RtiQwDBr4","null","null","","null","2023-06-02","",""
"","","","","","","Maud Gone","Car Seat Headrest","Teens of Style","spotify:track:53eMEHD5vu4kRB458TCuiM","null","null","","null","2023-06-02","",""
"","","","","","","Afraid of the Dark","The Frights","You Are Going to Hate This","spotify:track:7qu8bbYd447AiHOydbqe2c","null","null","","null","2023-06-02","",""
"","","","","","","Art School Wannabe","Sorority Noise","Joy, Departed","spotify:track:4JgABUEuQw3QKHBAwLqQue","null","null","","null","2023-06-02","",""
"","","","","","","Gimmie Something","FIDLAR","FIDLAR","spotify:track:2v1aJdgNImq9Zrz1IF5wat","null","null","","null","2023-06-02","",""
"","","","","","","The Guns of Brixton - Remastered","The Clash","London Calling (Remastered)","spotify:track:0jnFDxgNhS156vu6roUVco","null","null","","null","2023-06-02","",""
"","","","","","","Debaser","Pixies","Doolittle","spotify:track:5cy5IStIn7OSHDEIgXeDyq","null","null","","null","2023-06-02","",""
"","","","","","","Here Comes Your Man","Pixies","Doolittle","spotify:track:4IvZLDtwBHmBmwgDIUbuwa","null","null","","null","2023-06-02","",""
"","","","","","","Just like Heaven","The Cure","Kiss Me, Kiss Me, Kiss Me","spotify:track:76GlO5H5RT6g7y0gev86Nk","null","null","","null","2023-06-02","",""
"","","","","","","Crash Test Rating","Remo Drive","Greatest Hits","spotify:track:1RIgnPLmupN5JRcncTDUTO","null","null","","null","2023-06-02","",""
"","","","","","","Strawberita","Remo Drive","Greatest Hits","spotify:track:2qsalMTxsMGCPOadfgXSzl","null","null","","null","2023-06-02","",""
"Set ideas","2023-06-02","","","","","Break on Through (To the Other Side)","The Doors","The Doors","spotify:track:6ToM0uwxtPKo9CMpbPGYvM","null","null","","null","2023-06-01","null","0"
"","","","","","","Bitchin' Camaro","The Dead Milkmen","Death Rides A Pale Cow: The Ultimate Collection","spotify:track:2mXlyIrNlwApw5gdiYarO3","null","null","","null","2023-06-01","",""
"","","","","","","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller","spotify:track:1CgmY8fVN7kstVDZmsdM5k","null","null","","null","2023-06-01","",""
"","","","","","","Hollywood Baby","100 gecs","10,000 gecs","spotify:track:0oigSejhoNen2EdNAIFcm5","null","null","","null","2023-06-01","",""
"","","","","","","Constant Headache","Joyce Manor","S/T","spotify:track:6baeAT0jVAxvnLn8rIN50X","null","null","","null","2023-06-01","",""
"","","","","","","Everybody Wants To Rule The World","Tears For Fears","Songs From The Big Chair","spotify:track:4RvWPyQ5RL0ao9LPZeSouE","null","null","","null","2023-06-02","",""
"Keepers from macs new album","2023-04-23","","","","","20180701","Mac DeMarco","One Wayne G","spotify:track:4Qoyylq2zm3eBpENMQ59Xu","null","null","","null","2023-04-21","null","0"
"","","","","","","20200816 She Want The Sandwich","Mac DeMarco","One Wayne G","spotify:track:7eXTBoSQm3Xlp67cH2smXZ","null","null","","null","2023-04-21","",""
"","","","","","","20191009 I Like Her","Mac DeMarco","One Wayne G","spotify:track:3oUn55qKRZ1JFzfQNbJjS1","null","null","","null","2023-04-21","",""
"","","","","","","20190729","Mac DeMarco","One Wayne G","spotify:track:0xCMl9Oymkg8amUwZokFRo","null","null","","null","2023-04-23","",""
"Math","2023-07-20","","","","","Vacation, Asphyxia, Vacation","The Ladies","They Mean Us","spotify:track:5KPmRQbEoSQEFpyVAa4GDH","null","null","","null","2023-04-14","null","0"
"","","","","","","Black Metal In The Hour Of Starbucks","The Ladies","They Mean Us","spotify:track:46Hh3GTtSUtVMXuuxvx6c1","null","null","","null","2023-04-14","",""
"","","","","","","Tony Hawk of Ghana","I Hate My Village","I Hate My Village","spotify:track:4U0AlhWv6AQF9PHiwfaLdH","null","null","","null","2023-07-20","",""
"","","","","","","Witches","Elephant Gym","Dreams","spotify:track:4qTlJH6ZM4sUX39EB9VMFy","null","null","","null","2023-07-20","",""
"","","","","","","A Quick One, While She’s Away","Giraffes? Giraffes!","More Skin With Milk-Mouth (2015 Remaster)","spotify:track:2T74G7Vyy8Z4dQRLfMTBC1","null","null","","null","2023-07-20","",""
"","","","","","","Cold Reading","Bygones","By-","spotify:track:3MmniP0LDo4nJURIabcsWv","null","null","","null","2023-07-20","",""
"Shoegaze","2023-04-04","","","","","Hazy Youth","Trementina","Almost Reach the Sun","spotify:track:1HXLeO8G18z1LLxk3FbqWD","null","null","","null","2023-04-04","null","0"
"Cole","2024-06-19","","","","","タイム・リミット","CASIOPEA","CASIOPEA","spotify:track:0MaM0yE9EdQEJwDfs6EAZ9","null","null","","null","2024-06-19","null","6"
"","","","","","","Do It Good","Bill Withers","Just As I Am","spotify:track:3fN8djLf2uPJp993x5Jyex","null","null","","null","2023-03-31","",""
"","","","","","","Bodys","Car Seat Headrest","Twin Fantasy","spotify:track:1Pbs2eCcX9p2onaAvMYvhk","null","null","","null","2023-03-31","",""
"","","","","","","Garbage Pale Kids","JPEGMAFIA","SCARING THE HOES","spotify:track:73pz1RTwUBpKO286c9zhzT","null","null","","null","2023-03-31","",""
"","","","","","","Biblical Violence","Hella","Hold Your Horse Is","spotify:track:3YmFlUmOV28Sf14lJp1QDF","null","null","","null","2023-03-31","",""
"","","","","","","Mississippi Half-Step Uptown Toodeloo - Live at Oakland Coliseum Stadium, Oakland, CA, October 9, 1976","Grateful Dead","Dick's Picks Vol. 33: Oakland Coliseum Stadium, Oakland, CA 10/9/76 & 10/10/76","spotify:track:20xBJyzAMGpRTyUPo3mS14","null","null","","null","2023-03-31","",""
"","","","","","","You Send Me","Otis Redding","Pain in My Heart","spotify:track:59YgzH5x6Do6byUMwMobkv","null","null","","null","2023-03-31","",""
"","","","","","","I Call Your Name","The Mamas & The Papas","If You Can Believe Your Eyes & Ears","spotify:track:46RVIZHY0PgIHT4Wbj1Swr","null","null","","null","2023-03-31","",""
"","","","","","","The Shoes of the Fisherman's Wife Are Some Jive Ass Slippers","Charles Mingus","Let My Children Hear Music","spotify:track:3fcKZiegoVsBmVuGkyvcWv","null","null","","null","2023-03-31","",""
"","","","","","","House Warning Party","Joyce Manor","Songs From Northern Torrance","spotify:track:6w6SbrNRg994BVbiFegiN6","null","null","","null","2023-03-31","",""
"","","","","","","Troglodyte","Viagra Boys","Cave World","spotify:track:2FHMM1A7ozaPLn0wIY4SET","null","null","","null","2023-03-31","",""
"","","","","","","Plateau","Meat Puppets","II","spotify:track:1szDksEZ8FUIESuhvoi2yN","null","null","","null","2023-03-31","",""
"","","","","","","Deal - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77","Grateful Dead","Cornell 5/8/77","spotify:track:0pPvu1AGxIj7pvESvSg4wi","null","null","","null","2023-03-31","",""
"","","","","","","What I Love Most in England (Is the Food!)","Jeffrey Lewis","Nonsense","spotify:track:1tYalRczXur5m4mHlFtdPv","null","null","","null","2023-03-31","",""
"","","","","","","Egg & Daughter Nite, Lincoln Nebraska, 1967 (Crazy Bone)","John Prine","The Tree of Forgiveness","spotify:track:1k9khuqqY0wHE5IYEyK791","null","null","","null","2023-03-31","",""
"","","","","","","Thrashville 2/3","Prince Daddy & the Hyena","Now That's What I Call Music Vol. 420","spotify:track:6gPEmrr5q5MNutPRYDSrBm","null","null","","null","2023-03-31","",""
"","","","","","","Doctor Whomst","Origami Angel","Somewhere City","spotify:track:4udlZkMAIyKsx4PZefD4Yb","null","null","","null","2023-03-31","",""
"","","","","","","Self-Destruct","Origami Angel","GAMI GANG","spotify:track:03i4WqxWormLKeXQP7eZPi","null","null","","null","2023-03-31","",""
"","","","","","","Damage Control","The Dirty Nil","Fuck Art","spotify:track:7tJpkS3F687NN2Hj9C3F8e","null","null","","null","2023-03-31","",""
"","","","","","","Rudolph - Live","MJ Lenderman","And The Wind (Live and Loose!)","spotify:track:7LuqiAVs7rEwhtlITyxQRj","null","null","","null","2024-06-19","",""
"","","","","","","New Speedway Boogie","Courtney Barnett","Day of the Dead","spotify:track:7rlH5IVzRc5eCMiURVoUrI","null","null","","null","2023-03-31","",""
"","","","","","","Lance Jr.","Courtney Barnett","The Double EP: A Sea of Split Peas","spotify:track:5WcsKj0O2FG8etJAfnogBa","null","null","","null","2023-03-31","",""
"","","","","","","The Moon","The Microphones","The Glow, Pt. 2","spotify:track:4pbEwQiDjPln3oYlijXuOE","null","null","","null","2023-03-31","",""
"","","","","","","Fugue State","Vulfpeck","Fugue State","spotify:track:2Ux3BFgzXm0YoD37nBQjJt","null","null","","null","2023-03-31","",""
"","","","","","","New Jersey Vs. Valhalla","Orchid","Chaos Is Me","spotify:track:1yaHe3TyEajmwIh0Lst4Ow","null","null","","null","2023-03-31","",""
"","","","","","","Worms","Viagra Boys","Street Worms","spotify:track:0mcspj4ScW3ZF3OILnvr4i","null","null","","null","2023-03-31","",""
"","","","","","","Serpentine Pad","Pavement","Wowee Zowee","spotify:track:7jcGbdLV8WvYu5mh2vjXcn","null","null","","null","2023-03-31","",""
"","","","","","","Heresy","Nine Inch Nails","The Downward Spiral","spotify:track:6pzLYIFvcV5w3ePpGIIyqw","null","null","","null","2023-03-31","",""
"","","","","","","Self-Inflicted Mental Terror","Gulch","Impenetrable Cerebral Fortress","spotify:track:0Mo27q9D6r2d5PofcZMdtl","null","null","","null","2024-06-19","",""
"","","","","","","Bring It On Home To Me","Roy Hargrove","Earfood","spotify:track:0eYkkBpDOVIToMot1bpW6s","null","null","","null","2024-06-19","",""
"","","","","","","Back Up Train - Remastered","Al Green","Back Up Train","spotify:track:3DovaK9o0xI7dgayuy7tD5","null","null","","null","2023-03-31","",""
"","","","","","","Don't Pass Me By","Pastor T.L. Barrett and the Youth for Christ Choir","Do Not Pass Me By Vol. I","spotify:track:7Ii2fppsnELR4b4m7UCTJ7","null","null","","null","2024-06-19","",""
"Pocket","2023-03-23","","","","","Summer Breeze","Ramsey Lewis","Solar Wind","spotify:track:3F0yjKvYkEBs8oQfUe64kL","null","null","","null","2023-03-23","null","0"
"","","","","","","New Guru","Vulfpeck","Schvitz","spotify:track:1iDxNtb7jleE8GqD4m81dA","null","null","","null","2023-03-23","",""
"","","","","","","Fugue State","Vulfpeck","Fugue State","spotify:track:2Ux3BFgzXm0YoD37nBQjJt","null","null","","null","2023-03-23","",""
"Sludge fest real album","2023-03-22","null","Sludgefest Full Album","The Dingalings","spotify:episode:7KtFmnosIhYLqryGJyUCRX","","","","","","null","","null","2023-03-22","null","0"
"New rap ","2023-03-20","","","","","The Nac 2","BLP KOSHER","The Nac 2","spotify:track:3yCNIrTEZx3JSC2K1xmf9K","null","null","","null","2023-03-19","null","0"
"","","","","","","In Yo Face","CRUELKAME","In Yo Face","spotify:track:1mMNECu9SzlSOzPmSQJcDf","null","null","","null","2023-03-19","",""
"","","","","","","Shot Off Gumbo","YTB Fatt","Shot Off Gumbo","spotify:track:0L5mKO9kbqcKoN2hiJ1e1j","null","null","","null","2023-03-19","",""
"","","","","","","Ambition For Cash","Key Glock","Yellow Tape 2","spotify:track:4mIHgQ3ofK2RK34UdbqMbe","null","null","","null","2023-03-19","",""
"","","","","","","3:30 In Houston","Benny The Butcher","3:30 In Houston","spotify:track:1CskHhEj7h9GRMKXpLHApO","null","null","","null","2023-03-19","",""
"","","","","","","Johnny P's Caddy","Benny The Butcher","Johnny P's Caddy","spotify:track:6AshXllQhobwSXsdpgp41w","null","null","","null","2023-03-20","",""
"","","","","","","GAMBINOS","Neek Bucks","GAMBINOS","spotify:track:0WlgUBuHQP5KEavW4uq1dc","null","null","","null","2023-03-20","",""
"","","","","","","Back 2x (feat. Stove God Cooks)","Benny The Butcher","Tana Talk 4","spotify:track:0jMPyBUzWqpfkoWstJyphm","null","null","","null","2023-03-20","",""
"","","","","","","10 More Commandments (feat. Diddy)","Benny The Butcher","Tana Talk 4","spotify:track:3aXFgq1C1bwPCFQOgGPuPA","null","null","","null","2023-03-20","",""
"","","","","","","Knocking Pictures off da Wall","DJ Screw","3 ‘n the Mornin’ 20th Anniversary (Deluxe Edition)","spotify:track:55sxugBduWb51PRY5Kunj3","null","null","","null","2023-03-20","",""
"","","","","","","Piano Love","Conway the Machine","God Don't Make Mistakes","spotify:track:32vZppk72bhr4KOcGeonox","null","null","","null","2023-03-20","",""
"","","","","","","John Woo Flick (with Benny The Butcher & Westside Gunn)","Conway the Machine","God Don't Make Mistakes","spotify:track:2Ri3R5tB1FlZhYgLMqTjSn","null","null","","null","2023-03-20","",""
"","","","","","","So Much More","Conway the Machine","God Don't Make Mistakes","spotify:track:6cspyG3FNuvNznrA7bzlxh","null","null","","null","2023-03-20","",""
"Hardcore/screamo","2023-03-01","","","","","joeybae","sowithout.","septemberthirteenthtwentynineteen.","spotify:track:5Yj9tqaZ1xgO5s9gfIjGHv","null","null","","null","2023-03-01","null","0"
"","","","","","","New Jersey Vs. Valhalla","Orchid","Chaos Is Me","spotify:track:1yaHe3TyEajmwIh0Lst4Ow","null","null","","null","2023-03-01","",""
"","","","","","","Epilogue of a Car Crash","Orchid","Chaos Is Me","spotify:track:0R94dURyYmXQlXW95gOcHX","null","null","","null","2023-03-01","",""
"","","","","","","Aesthetic Dialectic","Orchid","Chaos Is Me","spotify:track:7kX2Nx3JzIt8aScXYsvr9f","null","null","","null","2023-03-01","",""
"New cpjs set","2023-03-01","","","","","Bodys","Car Seat Headrest","Twin Fantasy","spotify:track:1Pbs2eCcX9p2onaAvMYvhk","null","null","","null","2023-03-01","null","0"
"","","","","","","Tears Over Beers","Modern Baseball","Sports","spotify:track:7hPLPHeKbwJrsuDHv4BCTA","null","null","","null","2023-03-01","",""
"","","","","","","Freaks","Surf Curse","Freaks","spotify:track:7EkWXAI1wn8Ii883ecd9xr","null","null","","null","2023-03-01","",""
"Drill shit","2023-02-22","","","","","Dangerous","G-Foe","Dangerous","spotify:track:4ALIk1oT0q4SgYZqCNksLh","null","null","","null","2023-02-21","null","0"
"","","","","","","Glizzy","Quin Nfn","2's & 4's","spotify:track:2AOfZ5mSMiDYxbOMbB8KW6","null","null","","null","2023-02-21","",""
"","","","","","","Gorilla","Little Simz","NO THANK YOU","spotify:track:0pJO1tc1GpnxFyQp6Zp82r","null","null","","null","2023-02-22","",""
"Licks to steal","2023-02-20","","","","","Help on the Way / Slipknot! - 2013 Remaster","Grateful Dead","Blues for Allah","spotify:track:5mWhyozge9IIMdfIboHgGI","null","null","","null","2023-02-20","null","0"
"Chat gpt sent me ","2023-02-20","","","","","Hey","Pixies","Doolittle","spotify:track:0p5eZCY0R7uNCZS1YDtIYI","null","null","","null","2023-02-20","null","0"
"","","","","","","Northern Sky","Nick Drake","Bryter Layter","spotify:track:3EtIraJEHVSbBvLw5msioH","null","null","","null","2023-02-20","",""
"","","","","","","Strange - Single Version","Patsy Cline","Sentimentally Yours","spotify:track:7jGrvXXwpmNgJVnz7QS7df","null","null","","null","2023-02-20","",""
"","","","","","","Black Water","Timber Timbre","Creep On Creepin' On","spotify:track:2cYhGJbhvVareN1kFQiODe","null","null","","null","2023-02-20","",""
"","","","","","","Demon Host","Timber Timbre","Timber Timbre","spotify:track:2XvpMAHHUVuKodlo7BKqpv","null","null","","null","2023-02-20","",""
"","","","","","","Do I Ever Cross Your Mind","Chet Atkins","Chet Atkins - The Master And His Music","spotify:track:31xqbaSu7ozgcK8desDuMK","null","null","","null","2023-02-20","",""
"","","","","","","Walkin' After Midnight","Patsy Cline","Patsy Cline","spotify:track:7E8nKMtXMqIQbvl1Ta9Ucw","null","null","","null","2023-02-20","",""
"DEAD","2023-02-03","","","","","Althea - 2013 Remaster","Grateful Dead","Go to Heaven","spotify:track:7M7AwtGvWdMYudqx5Iuh1m","null","null","","null","2023-02-03","null","0"
"","","","","","","Deal - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77","Grateful Dead","Cornell 5/8/77","spotify:track:0pPvu1AGxIj7pvESvSg4wi","null","null","","null","2023-02-03","",""
"","","","","","","Mississippi Half-Step Uptown Toodeloo - Live at Oakland Coliseum Stadium, Oakland, CA, October 9, 1976","Grateful Dead","Dick's Picks Vol. 33: Oakland Coliseum Stadium, Oakland, CA 10/9/76 & 10/10/76","spotify:track:20xBJyzAMGpRTyUPo3mS14","null","null","","null","2023-02-03","",""
"","","","","","","Fire on the Mountain - Live at Hampton Coliseum, Hampton, VA, March 27, 1988","Grateful Dead","Download Series Vol. 5: Hampton Coliseum, Hampton, VA 3/27/88","spotify:track:56FZCiwQ0qs2WuGyPCJKkQ","null","null","","null","2023-02-03","",""
"","","","","","","He's Gone - Live in Amsterdam, 1972; 2001 Remaster","Grateful Dead","Europe '72","spotify:track:4SGS3okZJqz3GpEdruo9BK","null","null","","null","2023-02-03","",""
"","","","","","","China Cat Sunflower - Live in Paris 1972 Version","Grateful Dead","Europe '72","spotify:track:3iPYTo54a7gimA0kdp8x13","null","null","","null","2023-02-03","",""
"","","","","","","Wharf Rat - Live at Fillmore East, New York, NY, April 26, 1971","Grateful Dead","Grateful Dead (Skull & Roses)","spotify:track:0JKWRYAxDyWqS14WmtLFOf","null","null","","null","2023-02-03","",""
"","","","","","","Terrapin Station Medley - 2014 Remaster","Grateful Dead","Terrapin Station","spotify:track:2gdTkM0hL9KQipAx6aUT6L","null","null","","null","2023-02-03","",""
"","","","","","","Dancin' in the Streets - 2014 Remaster","Grateful Dead","Terrapin Station","spotify:track:554QP6owMYOaS8Ghr9XcoD","null","null","","null","2023-02-03","",""
"","","","","","","Shakedown Street - 2013 Remaster","Grateful Dead","Shakedown Street","spotify:track:1lNRVjK8MukRZpeurYssIx","null","null","","null","2023-02-03","",""
"Crunchy garage stuff","2023-05-16","","","","","Sea Ghost","The Unicorns","Who Will Cut Our Hair When We're Gone? (Remastered)","spotify:track:5pTvG4ac1DfQh6Gw7cm9Fg","null","null","","null","2023-01-11","null","0"
