"name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack","items__addedDate","description","numberOfFollowers"
"Vibes","2024-12-01","Invincible","Aminé","Spider-Man: Into the Spider-Verse","spotify:track:6VS7wKwtvL2FvTupYSWZ9e","null","null","null","2019-09-12","null","0"
"","","Let Go","Beau Young Prince","Spider-Man: Into the Spider-Verse","spotify:track:5F2AuFzEiuAQD0JVNjVJQz","null","null","null","2019-09-12","",""
"","","Interlude (That's Love)","Chance the Rapper","Acid Rap","spotify:track:7nrraHMpSbyJJoN3unjjoJ","null","null","null","2019-09-12","",""
"","","All Day Long","Chance the Rapper","The Big Day","spotify:track:1g3ErLqysBJ5EIGdYYMWFZ","null","null","null","2019-09-12","",""
"","","GRoCERIES","Chance the Rapper","GRoCERIES","spotify:track:0yFvWTLs3iIwDbc91noXGT","null","null","null","2019-09-12","",""
"","","Just Us (feat. SZA)","DJ Khaled","Father Of Asahd","spotify:track:0BnTBAGmr9FtYwkZrwKhwS","null","null","null","2019-09-12","",""
"","","Nice For What","Drake","Nice For What","spotify:track:1cTZMwcBJT0Ka3UJPXOeeN","null","null","null","2019-09-12","",""
"","","Can’t Take A Joke","Drake","Scorpion","spotify:track:7cfvP13Bqb1EyCZQiYsLum","null","null","null","2019-09-12","",""
"","","Corners Of My Mind","Emotional Oranges","Corners Of My Mind","spotify:track:2lIZR2zS9m5ox2TlYuwUzk","null","null","null","2019-09-12","",""
"","","Personal","Emotional Oranges","Personal","spotify:track:3ET6tneQU6pszP9VylP27r","null","null","null","2019-09-12","",""
"","","Doesn't Matter - Rynx Remix","Gallant","Doesn't Matter","spotify:track:0Xr5SrLHtrQ8vD1dDkqxRV","null","null","null","2019-09-12","",""
"","","Empty","Juice WRLD","Death Race For Love","spotify:track:41MCdlvXOl62B7Kv86Bb1v","null","null","null","2019-09-12","",""
"","","Robbery","Juice WRLD","Death Race For Love","spotify:track:6Hj9jySrnFppAI0sEMCZpJ","null","null","null","2019-09-12","",""
"","","Hide (feat. Seezyn)","Juice WRLD","Spider-Man: Into the Spider-Verse","spotify:track:6rz0dTA0PdhXImFV5EjM0w","null","null","null","2019-09-12","",""
"","","All The Stars (with SZA)","Kendrick Lamar","Black Panther The Album Music From And Inspired By","spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","null","null","null","2019-09-12","",""
"","","TAG","Kevin LaSean","TAG","spotify:track:16IIixmrVi00ClgOLvpeKG","null","null","null","2019-09-12","",""
"","","I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","Lil Peep","I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","spotify:track:2v5JTeM6hSmi5wWy7jiwrI","null","null","null","2019-09-12","",""
"","","Scared of the Dark (feat. XXXTENTACION)","Lil Wayne","Spider-Man: Into the Spider-Verse","spotify:track:3vWzyGTu6Ovo1GdrcJqH6e","null","null","null","2019-09-12","",""
"","","First Place","Marshmello","Roll The Dice","spotify:track:2KhNvxincDseAVjb3q9kXF","null","null","null","2019-09-12","",""
"","","Paranoid","Post Malone","beerbongs & bentleys","spotify:track:3fpVWegR6YOS1Yk5HSMYIq","null","null","null","2019-09-12","",""
"","","Better Now","Post Malone","beerbongs & bentleys","spotify:track:7dt6x5M1jzdTEt8oCbisTK","null","null","null","2019-09-12","",""
"","","Hollywood's Bleeding","Post Malone","Hollywood's Bleeding","spotify:track:77Y7tccX9Hx5iClDr39uy9","null","null","null","2019-09-12","",""
"","","A Thousand Bad Times","Post Malone","Hollywood's Bleeding","spotify:track:3hFG4jR5stnIQJDI64KlJY","null","null","null","2019-09-12","",""
"","","Circles","Post Malone","Hollywood's Bleeding","spotify:track:51MMC5DogGZAnHil5HQAXg","null","null","null","2019-09-12","",""
"","","Staring At The Sun (feat. SZA)","Post Malone","Hollywood's Bleeding","spotify:track:2leIuE4fdcJoNMSKu5Yr7a","null","null","null","2019-09-12","",""
"","","On The Road (feat. Meek Mill & Lil Baby)","Post Malone","Hollywood's Bleeding","spotify:track:0hGH0S74Eoyv6mXZcOKtdQ","null","null","null","2019-09-12","",""
"","","Goodbyes (feat. Young Thug)","Post Malone","Hollywood's Bleeding","spotify:track:5E1jEFXElio2eOxjJ3WLnk","null","null","null","2019-09-12","",""
"","","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","Sunflower","spotify:track:1A6OTy97kk0mMdm78rHsm8","null","null","null","2019-09-12","",""
"","","Wow.","Post Malone","Wow.","spotify:track:6MWtB6iiXyIwun0YzU6DFP","null","null","null","2019-09-12","",""
"","","Read My Mind (feat. Mainland)","Rynx","Read My Mind (feat. Mainland)","spotify:track:75Mp1U7vZ04ST1xpsx3MjM","null","null","null","2019-09-12","",""
"","","Paramedic!","SOB X RBE","Black Panther The Album Music From And Inspired By","spotify:track:4Rz2oMtjx93aWs2g6JSHys","null","null","null","2019-09-12","",""
"","","Love Galore (feat. Travis Scott)","SZA","Ctrl","spotify:track:0q75NwOoFiARAVp4EXU4Bs","null","null","null","2019-09-12","",""
"","","Memories","Thutmose","Spider-Man: Into the Spider-Verse","spotify:track:2CWOMDYFK4Ef3867nEhnVM","null","null","null","2019-09-12","",""
"","","Find the Pieces","Tryhardninja","Pick a Universe","spotify:track:4CzJNaGhWWpbv36kpTIzhv","null","null","null","2019-09-12","",""
"","","EARFQUAKE","Tyler, The Creator","IGOR","spotify:track:5hVghJ4KaYES3BFUATCYn0","null","null","null","2019-09-12","",""
"","","Pray For Me (with Kendrick Lamar)","The Weeknd","Black Panther The Album Music From And Inspired By","spotify:track:77UjLW8j5UAGAGVGhR5oUK","null","null","null","2019-09-12","",""
"","","Bandit (with YoungBoy Never Broke Again)","Juice WRLD","Bandit (with YoungBoy Never Broke Again)","spotify:track:6Gg1gjgKi2AK4e0qzsR7sd","null","null","null","2019-10-19","",""
"","","Hot Shower","Chance the Rapper","The Big Day","spotify:track:00ko9WaS4jOX1kEk3gvHjf","null","null","null","2019-10-31","",""
"","","Up All Night","Khalid","Up All Night","spotify:track:1mpD5Q8IM32I4bF6eCpU74","null","null","null","2019-11-20","",""
