artistName,segment,user_id
Dzeko,Previously Active Listeners,user_001
AC/DC,Previously Active Listeners,user_001
Katy Perry,Previously Active Listeners,user_001
Taylor Swift,Previously Active Listeners,user_001
Michael Jackson,Moderate listeners,user_001
fun.,Previously Active Listeners,user_001
GROUPLOVE,Previously Active Listeners,user_001
KONGOS,Previously Active Listeners,user_001
Yo Gotti,Previously Active Listeners,user_001
Bee Gees,Previously Active Listeners,user_001
Bad Bunny,Previously Active Listeners,user_001
Pitbull,Previously Active Listeners,user_001
Kevin Rudolf,Previously Active Listeners,user_001
Sara Bareilles,Previously Active Listeners,user_001
YNW Melly,Light listeners,user_001
Frank Ocean,Previously Active Listeners,user_001
A$AP Rocky,Moderate listeners,user_001
Juice WRLD,Previously Active Listeners,user_001
Ghostface Killah,Previously Active Listeners,user_001
Ne-Yo,Previously Active Listeners,user_001
Young Money,Previously Active Listeners,user_001
Lil Tecca,Previously Active Listeners,user_001
Fall Out Boy,Light listeners,user_001
Landon Cube,Previously Active Listeners,user_001
Blxst,Moderate listeners,user_001
John Newman,Previously Active Listeners,user_001
Journey,Previously Active Listeners,user_001
Cookin' On 3 Burners,Previously Active Listeners,user_001
Quality Control,Previously Active Listeners,user_001
MC Hammer,Previously Active Listeners,user_001
Ari Lennox,Previously Active Listeners,user_001
Aaron May,Previously Active Listeners,user_001
BlocBoy JB,Previously Active Listeners,user_001
Lil Uzi Vert,Previously Active Listeners,user_001
Mumford & Sons,Moderate listeners,user_001
Train,Previously Active Listeners,user_001
Franz Ferdinand,Previously Active Listeners,user_001
Lil Durk,Previously Active Listeners,user_001
Gesaffelstein,Previously Active Listeners,user_001
Funk Wav,Previously Active Listeners,user_001
Haddaway,Previously Active Listeners,user_001
Saint Motel,Previously Active Listeners,user_001
Brent Faiyaz,Previously Active Listeners,user_001
KYLE,Previously Active Listeners,user_001
Metro Boomin,Moderate listeners,user_001
The Lumineers,Previously Active Listeners,user_001
Maroon 5,Moderate listeners,user_001
Quavo,Previously Active Listeners,user_001
The Wanted,Light listeners,user_001
Kenny Mason,Previously Active Listeners,user_001
Flipp Dinero,Previously Active Listeners,user_001
Bobby Shmurda,Previously Active Listeners,user_001
Dreamville,Previously Active Listeners,user_001
Ellie Goulding,Previously Active Listeners,user_001
Gigamesh,Previously Active Listeners,user_001
Big Boi,Previously Active Listeners,user_001
Christina Aguilera,Previously Active Listeners,user_001
Tiësto,Previously Active Listeners,user_001
Lil Wayne,Previously Active Listeners,user_001
Mustard,Previously Active Listeners,user_001
Flo Rida,Previously Active Listeners,user_001
Wallows,Previously Active Listeners,user_001
Mariah Carey,Previously Active Listeners,user_001
Major Lazer,Previously Active Listeners,user_001
Surfaces,Previously Active Listeners,user_001
Migos,Light listeners,user_001
Dyl,Previously Active Listeners,user_001
Desiigner,Previously Active Listeners,user_001
Gnarls Barkley,Previously Active Listeners,user_001
DRAM,Previously Active Listeners,user_001
Foster The People,Moderate listeners,user_001
DJ Snake,Previously Active Listeners,user_001
John Mayer,Previously Active Listeners,user_001
Fetty Wap,Previously Active Listeners,user_001
Robin Schulz,Previously Active Listeners,user_001
A-Trak,Previously Active Listeners,user_001
Chance the Rapper,Previously Active Listeners,user_001
24kGoldn,Previously Active Listeners,user_001
