Rank,Title,Artist
163,BAND4BAND,Central Cee & Lil Baby
164,Jingle Bell Rock,Bobby Helms
165,When I Was Your Man,Bruno Mars
166,Evergreen,Richy Mitch And The Coal Miners
167,One Dance,Drake Featuring WizKid & Kyla
168,Cowgirls,Morgan Wallen Featuring ERNEST
169,IDGAF,Drake Featuring Yeat
170,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
171,The Door,Teddy Swims
172,The Sound Of Silence (CYRIL Remix),Disturbed
173,Exes,Tate McRae
174,Murder On The Dancefloor,Sophie Ellis-Bextor
175,Sweet Child O' Mine,Guns N' Roses
176,Numb,Linkin Park
177,Move,Adam Port & Stryv Featuring Malachiii
178,I Know ?,Travis Scott
179,Primera Cita,Carin Leon
180,Big Dawgs,Hanumankind X Kalmi
181,Pedro,"Jaxomy, Agatino Romero & Raffaella Carra"
182,Whatever,Kygo With Ava Max
183,Kehlani,Jordan Adetunji
184,Billie Jean,Michael Jackson
185,Euphoria,Kendrick Lamar
186,Idol,YOASOBI
187,Ain't No Love In Oklahoma,Luke Combs
188,Your Love,The Outfield
189,Guess,Charli xcx Featuring Billie Eilish
190,Dial Drunk,Noah Kahan With Post Malone
191,Bye Bye Bye,*NSYNC
192,Somewhere Only We Know,Keane
193,First Person Shooter,Drake Featuring J. Cole
194,Si No Es Contigo,Cris Mj
195,The Boy Is Mine,"Ariana Grande, Brandy & Monica"
196,Where The Wild Things Are,Luke Combs
197,Cardigan,Taylor Swift
198,Santa Tell Me,Ariana Grande
199,No Role Modelz,J. Cole
200,Praise Jah In The Moonlight,YG Marley
