"name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack","items__addedDate","description","numberOfFollowers"
"Mental Beats","2025-02-02","Spirit","Sappheiros","Spirit","spotify:track:7191OcpBJcCtfz7MdjPMvx","null","null","null","2024-07-20","null","1"
"","","With You","Stwo","92","spotify:track:5CFj79sikszYUsQZ9buL0h","null","null","null","2024-07-20","",""
"","","Fate","PINES","Fate","spotify:track:7EA0m2DFtnBs5eRWvKEP40","null","null","null","2024-07-20","",""
"","","It's Alright","nimino","Vara","spotify:track:5z2VEtrR5u77AcIrtYXlor","null","null","null","2024-07-20","",""
"","","Gelatin Nature","Ooyy","Genesis","spotify:track:5boDttnUQOQToSjl3kplWc","null","null","null","2024-07-20","",""
"","","Episodes","Mishegas","Episodes","spotify:track:3tX9hPhKxKBusddqCTWZo4","null","null","null","2024-07-20","",""
"","","Places We Don't Know","Kasbo","Places We Don't Know","spotify:track:3JrMXGfyYUlBNKrHe99Csy","null","null","null","2024-07-20","",""
"","","I've Been Waiting","PINES","I've Been Waiting","spotify:track:3CMGpvXlQwBnmOvGUezflA","null","null","null","2024-07-20","",""
"","","Moments","Mishegas","Moments","spotify:track:6RsrcadNIwcPlxvmSTQmt3","null","null","null","2024-07-22","",""
"","","This Life","PINES","Dreamcycle","spotify:track:7b5R3o5NhKhE3M8S7FBoQ3","null","null","null","2024-07-22","",""
"","","No Sleep","Trinix","No Sleep","spotify:track:4BhAN9ph0KpIOCvDxkKhFz","null","null","null","2024-07-22","",""
"","","Because You Move Me","Tinlicker","Because You Move Me","spotify:track:05GvwwTLLID738BbKN1ze0","null","null","null","2024-07-23","",""
"","","Alone","Petit Biscuit","Alone","spotify:track:4p1NHiFP4PfV7eW1183Ej9","null","null","null","2024-07-23","",""
"","","Far Africa","Village","Far Africa","spotify:track:19uUbkh0epXOymbO4IoMG7","null","null","null","2024-07-23","",""
"","","Calling You","PINES","Calling You","spotify:track:74Necx530v8kXtXrhqOKHa","null","null","null","2024-07-28","",""
"","","1990","PINES","Dreamcycle","spotify:track:7pypWoj4sIsFb2Sxq8kyGp","null","null","null","2024-07-28","",""
"","","Nothing Really Matters (interlude)","Taska Black","Expectations","spotify:track:2cYJkpJHddTlZvouIQxgtP","null","null","null","2024-07-28","",""
"","","Sentir","Mishegas","Temporary Love","spotify:track:5xb2vxUeGJ7Yeclvfaq1O8","null","null","null","2024-07-28","",""
"","","Half Way Home","PINES","Dreamcycle","spotify:track:0cL0d7VBzRqlgZW1oMVw8k","null","null","null","2024-07-28","",""
"","","3am.","Emiliano Secchi","Panorama","spotify:track:178hmm1Z1pSm0zQTAUsAux","null","null","null","2024-07-28","",""
"","","Kaviar","paris91","Kaviar","spotify:track:7HbxWjNxWMhDCGuy3x4lM2","null","null","null","2024-07-28","",""
"","","Untitled","Mishegas","Untitled","spotify:track:6ZVnKlFwSthy3iRCog0Ypi","null","null","null","2024-07-28","",""
"","","missing","boxboys","together","spotify:track:0sKd9zgCe83bRnQeXcqag8","null","null","null","2024-07-29","",""
"","","warm sand","Fujitsu","corals 3","spotify:track:3k9CwehFVe7LPFmWTQaLeU","null","null","null","2024-07-29","",""
"","","SWIM - ford. Remix","Mild Minds","MOOD (Remixes)","spotify:track:6FOOwpGF5GLCotjnic8evC","null","null","null","2024-07-29","",""
"","","Kyoto","OTR","Kyoto","spotify:track:7kfiMpZfequSyr5Wj84UUY","null","null","null","2024-07-31","",""
"","","Sunset Lover","Petit Biscuit","Presence","spotify:track:3WRQUvzRvBDr4AxMWhXc5E","null","null","null","2024-07-31","",""
"","","You","Petit Biscuit","We Were Young","spotify:track:1X3jPy56S62Bc3p97OJPAH","null","null","null","2024-07-31","",""
"","","Beam","Petit Biscuit","Presence","spotify:track:7wUlXpbFSTtBQZabNd5i5o","null","null","null","2024-07-31","",""
"","","Gravitation","Petit Biscuit","Presence","spotify:track:6Fr50AXBWr8ki9EluTMPWl","null","null","null","2024-07-31","",""
"","","Digress","nimino","Hold","spotify:track:436ZTlgGj7Sbr0YwOLxvRy","null","null","null","2024-07-31","",""
"","","Sunset Lover - OTR Remix","Petit Biscuit","Sunset Lover Remixes","spotify:track:6vaZKsUq002F6ynXPXECFu","null","null","null","2024-08-01","",""
"","","Heights","Shallou","Heights","spotify:track:1OCrb7dmygmJiDcjdFAPR8","null","null","null","2024-08-01","",""
"","","Lovely Melancholy","Silky","Lovely Melancholy","spotify:track:35xiOi2kFauuO2j1i0D8Nj","null","null","null","2024-08-01","",""
"","","Place de l'étoile","Triomphe","Place de l'étoile","spotify:track:74zddYeCEHW8ORcr4t1O8K","null","null","null","2024-08-01","",""
"","","Awaken","Big Wild","Superdream","spotify:track:4oYzwOTWpP3JTyKrTHJtqw","null","null","null","2024-08-02","",""
"","","Matter of Time","Vandelux","When The Light Breaks","spotify:track:5z49EsoURUXq88RSLBmYPG","null","null","null","2024-08-02","",""
"","","Have Me","Mishegas","Have Me","spotify:track:0CWKeEBtjYxmkABGAPJgkc","null","null","null","2024-09-06","",""
"","","With You","Mishegas","With You","spotify:track:5O24tu7209ajxErFASykQ8","null","null","null","2024-09-06","",""
"","","The Kite (Outro)","Blonde Maze","Hold On","spotify:track:3j0vOkLmcC6opROouGpKmV","null","null","null","2024-09-23","",""
"","","Free Form","Alex Lustig","Wave002","spotify:track:04qxabD9hKT45HsrOQqdVg","null","null","null","2024-09-23","",""
"","","Otherside","Alex Lustig","Otherside","spotify:track:0yHv9yrngz7X5eKm2q8tle","null","null","null","2024-09-23","",""
"","","Sad Boy","MÜNE","Sad Boy","spotify:track:2eVHHhx4Gaq0vBUKqjft6W","null","null","null","2024-09-23","",""
